Statement,Label,Party_Affiliation,Subjects
Says the Annies List political group supports third-trimester abortions on demand.,FALSE,republican,abortion
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,TRUE,democrat,"energy,history,job-accomplishments"
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",TRUE,democrat,foreign-policy
Health care reform legislation is likely to mandate free sex change surgeries.,FALSE,none,health-care
The economic turnaround started at the end of my term.,TRUE,democrat,"economy,jobs"
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,TRUE,republican,education
Jim Dunnam has not lived in the district he represents for years now.,FALSE,republican,candidates-biography
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",TRUE,democrat,ethics
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",TRUE,organization,jobs
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,TRUE,republican,"energy,message-machine-2014,voting-record"
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",TRUE,democrat,elections
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",TRUE,independent,"economy,jobs,new-hampshire-2012,poverty"
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",FALSE,republican,"history,state-budget"
The economy bled $24 billion due to the government shutdown.,TRUE,none,"economy,federal-budget,health-care"
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,FALSE,columnist,health-care
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",TRUE,independent,elections
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,TRUE,democrat,federal-budget
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",FALSE,republican,federal-budget
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",TRUE,democrat,"financial-regulation,foreign-policy,water"
"Almost 100,000 people left Puerto Rico last year.",TRUE,democrat,"bankruptcy,economy,population"
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,FALSE,republican,"economy,income"
The United States has the highest corporate tax rate in the free world.,TRUE,none,"corporations,taxes"
We just had the best year for the auto industry in America in history.,TRUE,democrat,economy
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",TRUE,none,"health-care,message-machine"
Says Mitt Romney wants to get rid of Planned Parenthood.,FALSE,none,"abortion,federal-budget,health-care"
I dont know who (Jonathan Gruber) is.,FALSE,democrat,health-care
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,TRUE,democrat,"crime,diversity,homeland-security,terrorism"
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,TRUE,republican,candidates-biography
